grupo,region,municipio,trabajo,actividad,cumple
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,MBC - MANTENIMIENTO BASADO EN CONDICIONES,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Daños,Tipo 4,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,CPROG - MANTENIMIENTO CORRECTIVO PROGRAMABLE,SI
Grupo 2 Zona Sur,Metro Sur,Sabaneta,Daños,Tipo 4,SI
Grupo 2 Zona Sur,Metro Sur,Itagüí,Daños,Tipo 4,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,PROYE - PROYECTO,SI
Grupo 2 Zona Sur,Metro Sur,Itagüí,Daños,Tipo 4,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,PROYE - PROYECTO,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,PROYE - PROYECTO,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,PROYE - PROYECTO,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Daños,Tipo 4,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,MP - MANTENIMIENTO PREVENTIVO,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,PROYE - PROYECTO,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,ATTER - MANTENIMIENTO ATENCION A TERCEROS,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,CPROG - MANTENIMIENTO CORRECTIVO PROGRAMABLE,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,CPROG - MANTENIMIENTO CORRECTIVO PROGRAMABLE,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,CINME - MANTENIMIENTO CORRECTIVO INMEDIATO DAÑOS,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,PROYE - PROYECTO,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Daños,Tipo 4,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,CINME - MANTENIMIENTO CORRECTIVO INMEDIATO DAÑOS,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,ATTER - MANTENIMIENTO ATENCION A TERCEROS,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,CPROG - MANTENIMIENTO CORRECTIVO PROGRAMABLE,SI
Grupo 2 Zona Sur,Metro Sur,Sabaneta,Daños,Tipo 4,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,MP - MANTENIMIENTO PREVENTIVO,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,MP - MANTENIMIENTO PREVENTIVO,SI
Grupo 2 Zona Sur,Metro Sur,Envigado,Mantenimiento,CPROG - MANTENIMIENTO CORRECTIVO PROGRAMABLE,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,ATTER - MANTENIMIENTO ATENCION A TERCEROS,SI
Grupo 2 Zona Sur,Metro Sur,La Estrella,Daños,Tipo 4,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,CINME - MANTENIMIENTO CORRECTIVO INMEDIATO DAÑOS,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,CINME - MANTENIMIENTO CORRECTIVO INMEDIATO DAÑOS,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,CPROG - Mantenimiento Correctivo Programable,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,CPROG - Mantenimiento Correctivo Programable,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,CINME - Mantenimiento Correctivo Inmediato Daños,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,MP - Mantenimiento Preventivo,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,MP - Mantenimiento Preventivo,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,CPROG - Mantenimiento Correctivo Programable,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,CINME - Mantenimiento Correctivo Inmediato Daños,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,ATTER - Mantenimiento Atención a Terceros,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,PROYE - Proyecto,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,PROYE - Proyecto,NO
Grupo 2 Zona Sur,Metro Sur,Itagüí,Daños,Tipo 4,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,CPROG - Mantenimiento Correctivo Programable,SI
Grupo 1 Zona Norte,Oriente,El Retiro,Daños,Tipo 4,SI
Grupo 1 Zona Norte,Oriente,Puerto Triunfo,Daños,Tipo 3,SI
Grupo 1 Zona Norte,Oriente,San Vicente,Daños,Tipo 3,SI
Grupo 2 Zona Sur,Metro Sur,La Estrella,Daños,Tipo 4,SI
Grupo 2 Zona Sur,Metro Sur,La Estrella,Mantenimiento,MP - Mantenimiento Preventivo,SI
